source_series,series,entry_kind,wiki_title,full_name,status,type,subtype,operator_jp,operator_en,commons_root_category,submodel,bandai,special_formation,special_livery
6300形,都営6300形,new,東京都交通局6300形電車,東京都交通局6300形電車,現役,電車,通勤形,東京都交通局,Tokyo Metropolitan Bureau of Transportation,Toei 6300 series
6500形,都営6500形,new,東京都交通局6500形電車 (鉄道),東京都交通局6500形電車,現役,電車,通勤形,東京都交通局,Tokyo Metropolitan Bureau of Transportation,Toei 6500 series
10-000形,都営10-000形,new,東京都交通局10-000形電車,東京都交通局10-000形電車,廃止,電車,通勤形,東京都交通局,Tokyo Metropolitan Bureau of Transportation,Toei 10-000 series
10-300形,都営10-300形,new,東京都交通局10-300形電車,東京都交通局10-300形電車,現役,電車,通勤形,東京都交通局,Tokyo Metropolitan Bureau of Transportation,Toei 10-300 series
12-000形,都営12-000形,new,東京都交通局12-000形電車,東京都交通局12-000形電車,現役,電車,通勤形,東京都交通局,Tokyo Metropolitan Bureau of Transportation,Toei 12-000 series
12-600形,都営12-600形,new,東京都交通局12-600形電車,東京都交通局12-600形電車,現役,電車,通勤形,東京都交通局,Tokyo Metropolitan Bureau of Transportation,Toei 12-600 series
10系,大阪メトロ10系,new,大阪市交通局10系電車,大阪市高速電気軌道10系電車,廃止,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 10 series
100形,大阪メトロ100形,new,大阪市電気局100形電車,大阪市高速電気軌道100形電車,廃止,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway Type 100
20系,大阪メトロ20系,new,大阪市交通局20系電車,大阪市高速電気軌道20系電車,廃止,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 20 series
21系,大阪メトロ21系,new,大阪市交通局新20系電車#21系,大阪市高速電気軌道21系電車,現役,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 21 series
22系,大阪メトロ22系,new,大阪市交通局新20系電車#22系,大阪市高速電気軌道22系電車,現役,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 22 series
23系,大阪メトロ23系,new,大阪市交通局新20系電車#23系,大阪市高速電気軌道23系電車,現役,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 23 series
24系,大阪メトロ24系,new,大阪市交通局新20系電車#24系,大阪市高速電気軌道24系電車,廃止,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 24 series
25系,大阪メトロ25系,new,大阪市交通局新20系電車#25系,大阪市高速電気軌道25系電車,現役,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 25 series
30系,大阪メトロ30系,new,大阪市交通局30系電車,大阪市高速電気軌道30系電車,廃止,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 30 series
30000系,大阪メトロ30000系,new,大阪市交通局30000系電車,大阪市高速電気軌道30000系電車,現役,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 30000 series
30000A系,大阪メトロ30000A系,new,大阪市交通局30000系電車#30000A系,大阪市高速電気軌道30000A系電車,現役,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Metro 30000A series
400系,大阪メトロ400系,new,Osaka Metro400系電車,大阪市高速電気軌道400系電車,現役,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Metro 400 series
50系,大阪メトロ50系,new,大阪市交通局5000形電車,大阪市高速電気軌道50系電車,廃止,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 50 series
60系,大阪メトロ60系,new,大阪市交通局60系電車,大阪市高速電気軌道60系電車,廃止,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 60 series
66系,大阪メトロ66系,new,大阪市交通局66系電車,大阪市高速電気軌道66系電車,現役,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 66 series
70系,大阪メトロ70系,new,大阪市交通局70系電車,大阪市高速電気軌道70系電車,現役,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 70 series
80系,大阪メトロ80系,new,大阪市交通局80系電車,大阪市高速電気軌道80系電車,現役,電車,通勤形,大阪市高速電気軌道,Osaka Metro,Osaka Subway 80 series
