,submodel,bandai,operator_en,operator_jp,special_formation,special_livery,category_path_json,category_path
28,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 56 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 56 steam locomotive']"
29,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 57 steam locomotive"", ""C57 57 steam locomotive at Okura Sports Park""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 57 steam locomotive', 'C57 57 steam locomotive at Okura Sports Park']"
30,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 57 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 57 steam locomotive']"
31,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 66 steam locomotive"", ""C57 66 steam locomotive at Iriarai Nishi Park""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 66 steam locomotive', 'C57 66 steam locomotive at Iriarai Nishi Park']"
32,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 7 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 7 steam locomotive']"
33,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 87 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 87 steam locomotive']"
34,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives in service"", ""C57 180 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives in service', 'C57 180 steam locomotive']"
35,,,JR West,JR西日本,SL Kita-Biwako,,"[""C57 steam locomotives"", ""C57 steam locomotives in service"", ""JR West C57 1"", ""JR West C57 1 as SL Kita-Biwako""]","['C57 steam locomotives', 'C57 steam locomotives in service', 'JR West C57 1', 'JR West C57 1 as SL Kita-Biwako']"
36,,,JR West,JR西日本,SL Yamaguchi,,"[""C57 steam locomotives"", ""C57 steam locomotives in service"", ""JR West C57 1"", ""JR West C57 1 as SL Yamaguchi""]","['C57 steam locomotives', 'C57 steam locomotives in service', 'JR West C57 1', 'JR West C57 1 as SL Yamaguchi']"
37,,,JR West,JR西日本,,,"[""C57 steam locomotives"", ""C57 steam locomotives in service"", ""JR West C57 1""]","['C57 steam locomotives', 'C57 steam locomotives in service', 'JR West C57 1']"
38,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives in service""]","['C57 steam locomotives', 'C57 steam locomotives in service']"
39,,,Taiwan Railways Administration,台湾鉄路管理局,,,"[""C57 steam locomotives"", ""TRA CT270"", ""TRA CT271""]","['C57 steam locomotives', 'TRA CT270', 'TRA CT271']"
40,C57,,Taiwan Railways Administration,台湾鉄路管理局,,,"[""C57 steam locomotives"", ""TRA CT270"", ""TRA CT273""]","['C57 steam locomotives', 'TRA CT270', 'TRA CT273']"
41,C57,,Taiwan Railways Administration,台湾鉄路管理局,,,"[""C57 steam locomotives"", ""TRA CT270"", ""TRA CT278""]","['C57 steam locomotives', 'TRA CT270', 'TRA CT278']"
42,C57,,Taiwan Railways Administration,台湾鉄路管理局,,,"[""C57 steam locomotives"", ""TRA CT270"", ""TRA CT284""]","['C57 steam locomotives', 'TRA CT270', 'TRA CT284']"
43,C57,,Taiwan Railways Administration,台湾鉄路管理局,,,"[""C57 steam locomotives"", ""TRA CT270""]","['C57 steam locomotives', 'TRA CT270']"
44,C57,,Taiwan Railways Administration,台湾鉄路管理局,,,"[""C57 steam locomotives""]",['C57 steam locomotives']
45,DD51,,JNR,国鉄,,,"[""JNR DD51"", ""DD51 756 diesel locomotive at the Kyoto Railway Museum""]","['JNR DD51', 'DD51 756 diesel locomotive at the Kyoto Railway Museum']"
46,DD51,,JNR,国鉄,,北斗星,"[""JNR DD51"", ""DD51 in Hokutosei livery""]","['JNR DD51', 'DD51 in Hokutosei livery']"
47,DD51,,JNR,国鉄,,,"[""JNR DD51"", ""JNR DD51 1 at the Usui Pass Railway Heritage Park""]","['JNR DD51', 'JNR DD51 1 at the Usui Pass Railway Heritage Park']"
48,DD51,,JNR,国鉄,,,"[""JNR DD51"", ""JNR DD51 1043""]","['JNR DD51', 'JNR DD51 1043']"
49,DD51,,JNR,国鉄,,,"[""JNR DD51"", ""JNR DD51 1191""]","['JNR DD51', 'JNR DD51 1191']"
50,DD51,500,JNR,国鉄,,,"[""JNR DD51"", ""JNR DD51 615 at Otaru museum""]","['JNR DD51', 'JNR DD51 615 at Otaru museum']"
51,DD51,500,JNR,国鉄,,,"[""JNR DD51"", ""JNR DD51 759""]","['JNR DD51', 'JNR DD51 759']"
52,DD51,800,JR East,JR東日本,,,"[""JNR DD51"", ""JR East DD51 842""]","['JNR DD51', 'JR East DD51 842']"
53,DD51,800,JR East,JR東日本,,,"[""JNR DD51"", ""JR East DD51 895""]","['JNR DD51', 'JR East DD51 895']"
54,DD51,,,,,,"[""JNR DD51""]",['JNR DD51']
55,AT-400,,Aizu Railway,会津鉄道,,,"[""JNR Kiha 40 series"", ""Aizu Railway AT-400""]","['JNR Kiha 40 series', 'Aizu Railway AT-400']"
56,Kiha 40,,JR Central,JR東海,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Central)"", ""Kiha 40 (JR Central)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Central)', 'Kiha 40 (JR Central)']"
57,Kiha 47,,JR Central,JR東海,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Central)"", ""Kiha 47 (JR Central)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Central)', 'Kiha 47 (JR Central)']"
58,Kiha 48,,JR Central,JR東海,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Central)"", ""Kiha 48 (JR Central)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Central)', 'Kiha 48 (JR Central)']"
59,,,JR Central,JR東海,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Central)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Central)']"
60,,,JR East,JR東日本,Furusato,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Furusato (train)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Furusato (train)']"
61,Kiha 40,,JR East,JR東日本,,五能線色,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 40 (JR East)"", ""Kiha 40 (JR East) in Gonō Line livery (cream and blue)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 40 (JR East)', 'Kiha 40 (JR East) in Gonō Line livery (cream and blue)']"
62,Kiha 40,,JR East,JR東日本,,烏山線色,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 40 (JR East)"", ""Kiha 40 (JR East) in Karasuyama Line livery""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 40 (JR East)', 'Kiha 40 (JR East) in Karasuyama Line livery']"
63,Kiha 40,,JR East,JR東日本,,新潟色,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 40 (JR East)"", ""Kiha 40 (JR East) in Niigata livery (I)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 40 (JR East)', 'Kiha 40 (JR East) in Niigata livery (I)']"
64,Kiha 40,,JR East,JR東日本,,男鹿線色,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 40 (JR East)"", ""Kiha 40 (JR East) in Oga Line livery (cream and green)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 40 (JR East)', 'Kiha 40 (JR East) in Oga Line livery (cream and green)']"
65,Kiha 40,,JR East,JR東日本,,朱色5号,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 40 (JR East)"", ""Kiha 40 (JR East) in orange vermilion livery""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 40 (JR East)', 'Kiha 40 (JR East) in orange vermilion livery']"
66,Kiha 40,,JR East,JR東日本,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 40 (JR East)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 40 (JR East)']"
67,Kiha 47,,JR East,JR東日本,,新潟色,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 47 (JR East)"", ""Kiha 47 (JR East) in Niigata livery (I)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 47 (JR East)', 'Kiha 47 (JR East) in Niigata livery (I)']"
68,Kiha 47,,JR East,JR東日本,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 47 (JR East)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 47 (JR East)']"
69,Kiha 48,,JR East,JR東日本,Akita Cruise Train,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 48 (JR East)"", ""Akita Cruise Train""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 48 (JR East)', 'Akita Cruise Train']"
70,Kiha 48,,JR East,JR東日本,Kirakira Michinoku,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 48 (JR East)"", ""Kirakira Michinoku""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 48 (JR East)', 'Kirakira Michinoku']"
71,Kiha 48,,JR East,JR東日本,Resort Minori,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 48 (JR East)"", ""Resort Minori""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 48 (JR East)', 'Resort Minori']"
72,Kiha 48,,JR East,JR東日本,Resort Shirakami Aoike,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 48 (JR East)"", ""Resort Shirakami Aoike (I)"", ""Cruising Train (Kiha 48)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 48 (JR East)', 'Resort Shirakami Aoike (I)', 'Cruising Train (Kiha 48)']"
73,Kiha 48,,JR East,JR東日本,Resort Shirakami Aoike,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 48 (JR East)"", ""Resort Shirakami Aoike (I)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 48 (JR East)', 'Resort Shirakami Aoike (I)']"
74,Kiha 48,,JR East,JR東日本,Resort Shirakami Buna,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 48 (JR East)"", ""Resort Shirakami Buna (I)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 48 (JR East)', 'Resort Shirakami Buna (I)']"
75,Kiha 48,,JR East,JR東日本,Resort Shirakami Kumagera,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 48 (JR East)"", ""Resort Shirakami Kumagera""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 48 (JR East)', 'Resort Shirakami Kumagera']"
76,Kiha 48,,JR East,JR東日本,Resort Umineko,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 48 (JR East)"", ""Resort Umineko""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 48 (JR East)', 'Resort Umineko']"
77,Kiha 48,,JR East,JR東日本,Umineko,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 48 (JR East)"", ""Umineko (train)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 48 (JR East)', 'Umineko (train)']"
78,Kiha 48,,JR East,JR東日本,View Coaster Kazekko,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 48 (JR East)"", ""View Coaster Kazekko""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 48 (JR East)', 'View Coaster Kazekko']"
79,Kiha 48,,JR East,JR東日本,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Kiha 48 (JR East)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Kiha 48 (JR East)']"
80,,,JR East,JR東日本,Koshino Shu*Kura,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)"", ""Koshino Shu*Kura""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)', 'Koshino Shu*Kura']"
81,,,JR East,JR東日本,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR East)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR East)']"
82,Kiha 40,,JR Hokkaido,JR北海道,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Hokkaido)"", ""Kiha 40 (JR Hokkaido)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Hokkaido)', 'Kiha 40 (JR Hokkaido)']"
83,Kiha 400,,JR Hokkaido,JR北海道,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Hokkaido)"", ""Kiha 400 (JR Hokkaido)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Hokkaido)', 'Kiha 400 (JR Hokkaido)']"
84,Kiha 48,,JR Hokkaido,JR北海道,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Hokkaido)"", ""Kiha 48 (JR Hokkaido)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Hokkaido)', 'Kiha 48 (JR Hokkaido)']"
85,Kiha 40,,JR Hokkaido,JR北海道,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Hokkaido)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Hokkaido)']"
86,Kiha 140,,JR Kyushu,JR九州,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Kyushu)"", ""Kiha 140 (JR Kyushu)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Kyushu)', 'Kiha 140 (JR Kyushu)']"
87,Kiha 147,,JR Kyushu,JR九州,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Kyushu)"", ""Kiha 147 (JR Kyushu)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Kyushu)', 'Kiha 147 (JR Kyushu)']"
88,Kiha 40,,JR Kyushu,JR九州,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Kyushu)"", ""Kiha 40 (JR Kyushu)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Kyushu)', 'Kiha 40 (JR Kyushu)']"
89,Kiha 47,,JR Kyushu,JR九州,Aru Ressha,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Kyushu)"", ""Kiha 47 (JR Kyushu)"", ""Aru Ressha""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Kyushu)', 'Kiha 47 (JR Kyushu)', 'Aru Ressha']"
90,Kiha 47,,JR Kyushu,JR九州,Futatsuboshi 4047,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Kyushu)"", ""Kiha 47 (JR Kyushu)"", ""Futatsuboshi 4047""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Kyushu)', 'Kiha 47 (JR Kyushu)', 'Futatsuboshi 4047']"
91,Kiha 47,,JR Kyushu,JR九州,Kawasemi Yamasemi,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Kyushu)"", ""Kiha 47 (JR Kyushu)"", ""Kawasemi Yamasemi""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Kyushu)', 'Kiha 47 (JR Kyushu)', 'Kawasemi Yamasemi']"
92,Kiha 47,,JR Kyushu,JR九州,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Kyushu)"", ""Kiha 47 (JR Kyushu)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Kyushu)', 'Kiha 47 (JR Kyushu)']"
93,Kiha 40,,JR Kyushu,JR九州,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Kyushu)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Kyushu)']"
94,Kiha 40,,JR Shikoku,JR四国,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Shikoku)"", ""JNR Kiha 40 (JR Shikoku)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Shikoku)', 'JNR Kiha 40 (JR Shikoku)']"
95,Kiha 47,,JR Shikoku,JR四国,Iyonada Monogatari,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Shikoku)"", ""JNR Kiha 47 (JR Shikoku)"", ""Iyonada Monogatari""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Shikoku)', 'JNR Kiha 47 (JR Shikoku)', 'Iyonada Monogatari']"
96,Kiha 47,,JR Shikoku,JR四国,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR Shikoku)"", ""JNR Kiha 47 (JR Shikoku)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR Shikoku)', 'JNR Kiha 47 (JR Shikoku)']"
97,Kiha 40,,JR West,JR西日本,Sakubi Sakuraku,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR West)"", ""Kiha 40 (JR West)"", ""Sakubi Sakuraku""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR West)', 'Kiha 40 (JR West)', 'Sakubi Sakuraku']"
98,Kiha 40,,JR West,JR西日本,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR West)"", ""Kiha 40 (JR West)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR West)', 'Kiha 40 (JR West)']"
99,Kiha 41,,JR West,JR西日本,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR West)"", ""Kiha 41 (JR West)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR West)', 'Kiha 41 (JR West)']"
100,Kiha 47,,JR West,JR西日本,Ametuchi,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR West)"", ""Kiha 47 (JR West)"", ""Ametuchi (train)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR West)', 'Kiha 47 (JR West)', 'Ametuchi (train)']"
101,Kiha 47,,JR West,JR西日本,EtSETOra,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR West)"", ""Kiha 47 (JR West)"", ""EtSETOra""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR West)', 'Kiha 47 (JR West)', 'EtSETOra']"
102,Kiha 47,,JR West,JR西日本,Marumaru-no-Hanashi,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR West)"", ""Kiha 47 (JR West)"", ""Marumaru-no-Hanashi""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR West)', 'Kiha 47 (JR West)', 'Marumaru-no-Hanashi']"
103,Kiha 47,,JR West,JR西日本,Misuzu-Shiosai,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR West)"", ""Kiha 47 (JR West)"", ""Misuzu-Shiosai""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR West)', 'Kiha 47 (JR West)', 'Misuzu-Shiosai']"
104,Kiha 47,,JR West,JR西日本,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR West)"", ""Kiha 47 (JR West)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR West)', 'Kiha 47 (JR West)']"
105,Kiha 48,,JR West,JR西日本,Hanayome Noren,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR West)"", ""Kiha 48 (JR West)"", ""Hanayome Noren""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR West)', 'Kiha 48 (JR West)', 'Hanayome Noren']"
106,Kiha 48,,JR West,JR西日本,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR West)"", ""Kiha 48 (JR West)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR West)', 'Kiha 48 (JR West)']"
107,,,JR West,JR西日本,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40 series (JR West)""]","['JNR Kiha 40 series', 'JNR Kiha 40 series (JR West)']"
108,Kiha 40,,South Hokkaido Railway,道南いさりび鉄道,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40"", ""Ex-JNR Kiha 40"", ""South Hokkaido Railway Kiha 40""]","['JNR Kiha 40 series', 'JNR Kiha 40', 'Ex-JNR Kiha 40', 'South Hokkaido Railway Kiha 40']"
109,Kiha 40,,,,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40"", ""Ex-JNR Kiha 40""]","['JNR Kiha 40 series', 'JNR Kiha 40', 'Ex-JNR Kiha 40']"
110,Kiha 40,100,Japanese National Railways,国鉄,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40"", ""Kiha 40 100""]","['JNR Kiha 40 series', 'JNR Kiha 40', 'Kiha 40 100']"
111,Kiha 40,2000,Japanese National Railways,国鉄,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40"", ""Kiha 40 2000""]","['JNR Kiha 40 series', 'JNR Kiha 40', 'Kiha 40 2000']"
112,Kiha 40,,Japanese National Railways,国鉄,,,"[""JNR Kiha 40 series"", ""JNR Kiha 40""]","['JNR Kiha 40 series', 'JNR Kiha 40']"
113,Kiha 47,0,Japanese National Railways,国鉄,,,"[""JNR Kiha 40 series"", ""JNR Kiha 47"", ""JNR Kiha 47 0""]","['JNR Kiha 40 series', 'JNR Kiha 47', 'JNR Kiha 47 0']"
114,Kiha 47,,Japanese National Railways,国鉄,,,"[""JNR Kiha 40 series"", ""JNR Kiha 47""]","['JNR Kiha 40 series', 'JNR Kiha 47']"
115,,,JR East,JR東日本,,,"[""JR East E231"", ""JR East E231 at Tokyo Station""]","['JR East E231', 'JR East E231 at Tokyo Station']"
