series,wiki_title,status,type,subtype,operator_page_title,operator_jp,operator_en,full_name,commons_prefix,commons_root_category,commons_root_decision,commons_candidates,needs_review,commons_operator_roots,power_type
C61形,国鉄C61形蒸気機関車,現役,蒸気機関車,,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄C61形蒸気機関車,C61 steam locomotive,C61 steam locomotives,plural category match,"['C61 steam locomotives', 'C61 steam locomotives in service']",False,{'JR East': 'C61 steam locomotives'},Steam Locomotive
D51形,国鉄D51形蒸気機関車,現役,蒸気機関車,,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄D51形蒸気機関車,D51 steam locomotive,D51 steam locomotives,plural category match,"['D51 steam locomotive backheads', 'D51 steam locomotive wheels', 'D51 steam locomotive wheels at Shimbashi Station', 'D51 steam locomotives', 'D51 steam locomotives (Hokkaido)', 'D51 steam locomotives by number', 'D51 steam locomotives in service']",False,{'JR East': 'D51 steam locomotives'},Steam Locomotive
EF64形,国鉄EF64形電気機関車,現役,電気機関車,直流用,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄EF64形電気機関車,JNR EF64,JNR EF64,exact prefix match,['JNR EF64'],False,{'JR East': 'JNR EF64'},Electric Locomotive
EF65形,国鉄EF65形電気機関車,現役,電気機関車,直流用,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄EF65形電気機関車,JNR EF65,JNR EF65,exact prefix match,"['JNR EF65', 'JNR EF65-520 at the Usui Pass Railway Heritage Park']",False,{'JR East': 'JNR EF65'},Electric Locomotive
EF81形,国鉄EF81形電気機関車,現役,電気機関車,交直両用,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄EF81形電気機関車,JNR EF81,JNR EF81,exact prefix match,['JNR EF81'],False,{'JR East': 'JNR EF81'},Electric Locomotive
DD14形,国鉄DD14形ディーゼル機関車,現役,ディーゼル機関車,,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄DD14形ディーゼル機関車,JNR DD14,JNR DD14,exact prefix match,['JNR DD14'],False,{'JR East': 'JNR DD14'},Diesel Locomotive
DD51形,国鉄DD51形ディーゼル機関車,現役,ディーゼル機関車,,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄DD51形ディーゼル機関車,JNR DD51,JNR DD51,exact prefix match,"['JNR DD51', 'JNR DD51 1043', 'JNR DD51 1109', 'JNR DD51 1191', 'JNR DD51 1 at the Usui Pass Railway Heritage Park', 'JNR DD51 615 at Otaru museum', 'JNR DD51 759']",False,{'JR East': 'JNR DD51'},Diesel Locomotive
DE10形,国鉄DE10形ディーゼル機関車,現役,ディーゼル機関車,,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄DE10形ディーゼル機関車,JNR DE10,JNR DE10,exact prefix match,"['JNR DE10', 'JNR DE10 (Sagano Scenic Railway)', 'JNR DE10 1500']",False,{'JR East': 'JNR DE10'},Diesel Locomotive
157系,国鉄157系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄157系電車,JNR 157,JNR 157,exact prefix match,"['JNR 157', 'JNR 157 series Kuro 157 1']",False,{'JR East': 'JNR 157'},EMU
253系,JR東日本253系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本253系電車,JR East 253,JR East 253,exact prefix match,"['JR East 253', 'JR East 253-1000']",False,{'JR East': 'JR East 253'},EMU
255系,JR東日本255系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本255系電車,JR East 255,JR East 255,exact prefix match,['JR East 255'],False,{'JR East': 'JR East 255'},EMU
E257系,JR東日本E257系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E257系電車,JR East E257,JR East E257,exact prefix match,"['JR East E257', 'JR East E257-0', 'JR East E257-2000', 'JR East E257-2500', 'JR East E257-500', 'JR East E257-5000', 'JR East E257-5500', 'JR East E257 at Tokyo Station']",False,{'JR East': 'JR East E257'},EMU
E259系,JR東日本E259系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E259系電車,JR East E259,JR East E259,exact prefix match,['JR East E259'],False,{'JR East': 'JR East E259'},EMU
E261系,JR東日本E261系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E261系電車,JR East E261,JR East E261,exact prefix match,['JR East E261'],False,{'JR East': 'JR East E261'},EMU
E353系,JR東日本E353系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E353系電車,JR East E353,JR East E353,exact prefix match,['JR East E353'],False,{'JR East': 'JR East E353'},EMU
583系,国鉄583系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄583系電車,JNR 583,JNR 583,exact prefix match,"['JNR 583', 'JNR 583, cream', 'JNR 583 in JNR livery', 'JNR 583 in JR West livery', 'JNR 583 series Kuhane 581-35 at the Kyoto Railway Museum']",False,{'JR East': 'JNR 583'},EMU
651系,JR東日本651系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本651系電車,JR East 651,JR East 651,exact prefix match,"['JR East 651', 'JR East 651-0', 'JR East 651-1000']",False,{'JR East': 'JR East 651'},EMU
E653系,JR東日本E653系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E653系電車,JR East E653,JR East E653,exact prefix match,"['JR East E653', 'JR East E653-1000', 'JR East E653-1000 in JNR livery', 'JR East E653-1000 in blue livery', 'JR East E653-1000 in magenta livery', 'JR East E653-1000 in only blue (Ruri-iro) livery', 'JR East E653-1100', 'JR East E653 in blue livery', 'JR East E653 in green livery', 'JR East E653 in orange livery', 'JR East E653 in red livery', 'JR East E653 in yellow livery']",False,{'JR East': 'JR East E653'},EMU
E655系,JR東日本E655系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E655系電車,JR East E655,JR East E655,exact prefix match,['JR East E655'],False,{'JR East': 'JR East E655'},EMU
E657系,JR東日本E657系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E657系電車,JR East E657,JR East E657,exact prefix match,['JR East E657'],False,{'JR East': 'JR East E657'},EMU
E751系,JR東日本E751系電車,現役,電車,特急形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E751系電車,JR East E751,JR East E751,exact prefix match,['JR East E751'],False,{'JR East': 'JR East E751'},EMU
211系,国鉄211系電車,現役,電車,近郊形,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄211系電車,JNR 211,JNR 211,exact prefix match,"['JNR 211', 'JNR 211-0 (JR Central)', 'JNR 211 (JR Central)', 'JNR 211 (JR East)', 'JNR 211 at Tokyo Station']",False,{'JR East': 'JNR 211'},EMU
719系,JR東日本719系電車,現役,電車,近郊形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本719系電車,JR East 719,JR East 719,exact prefix match,"['JR East 719', 'JR East 719-0', 'JR East 719-5000', 'JR East 719-700']",False,{'JR East': 'JR East 719'},EMU
E127系,JR東日本E127系電車,現役,電車,通勤形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E127系電車,JR East E127,JR East E127,exact prefix match,['JR East E127'],False,{'JR East': 'JR East E127'},EMU
205系,国鉄205系電車,現役,電車,通勤形,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄205系電車,JNR 205,JNR 205,exact prefix match,"['JNR 205', 'JNR 205-0 (Hanwa Line)', 'JNR 205-0 (JR West)', 'JNR 205-0 (Nara Line)', 'JNR 205-0 (Tōkaidō-Sanyō Line local service)', 'JNR 205 (Chōū-Sobu Line)', 'JNR 205 (Hachikō Line)', 'JNR 205 (Hanwa Line)', 'JNR 205 (Hanwa Line local service)', 'JNR 205 (JR East)', 'JNR 205 (JR West)', 'JNR 205 (Kawagoe Line)', 'JNR 205 (Keihin-Tohoku Line)', 'JNR 205 (Keiyō Line)', 'JNR 205 (Miyakoji Rapid Service)', 'JNR 205 (Musashino Line)', 'JNR 205 (Nambu Line)', 'JNR 205 (Nara Line)', 'JNR 205 (Nara Line Local Service)', 'JNR 205 (Nara Line Miyakoji Rapid Service)']",False,{'JR East': 'JNR 205'},EMU
209系,JR東日本209系電車,現役,電車,通勤形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本209系電車,JR East 209,JR East 209,exact prefix match,"['JR East 209', 'JR East 209-0 (Keihin-Tōhoku Line)', 'JR East 209-0 (Nambu Line)', 'JR East 209-1000', 'JR East 209-2000/2100', 'JR East 209-2200', 'JR East 209-3000', 'JR East 209-3100', 'JR East 209-3500', 'JR East 209-500', 'JR East 209-500 (Chūō-Sōbu Line)', 'JR East 209-500 (Keihin-Tōhoku Line)', 'JR East 209-500 (Keiyō Line)', 'JR East 209-500 (Musashino Line)', 'JR East 209-900', 'JR East 209 at Tokyo Station']",False,{'JR East': 'JR East 209'},EMU
E501系,JR東日本E501系電車,現役,電車,通勤形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E501系電車,JR East E501,JR East E501,exact prefix match,['JR East E501'],False,{'JR East': 'JR East E501'},EMU
701系,JR東日本701系電車,現役,電車,通勤形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本701系電車,JR East 701,JR East 701,exact prefix match,"['JR East 701', 'JR East 701-0', 'JR East 701-100', 'JR East 701-1000', 'JR East 701-1500', 'JR East 701-5000', 'JR East 701-5500', 'JR East 701 in Akita livery', 'JR East 701 in Morioka livery', 'JR East 701 in Sendai livery']",False,{'JR East': 'JR East 701'},EMU
E129系,JR東日本E129系電車,現役,電車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E129系電車,JR East E129,JR East E129,exact prefix match,['JR East E129'],False,{'JR East': 'JR East E129'},EMU
E131系,JR東日本E131系電車,現役,電車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E131系電車,JR East E131,JR East E131,exact prefix match,"['JR East E131', 'JR East E131-0', 'JR East E131-1000', 'JR East E131-500', 'JR East E131-600', 'JR East E131-800']",False,{'JR East': 'JR East E131'},EMU
E231系,JR東日本E231系電車,現役,電車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E231系電車,JR East E231,JR East E231,exact prefix match,"['JR East E231', 'JR East E231-0 (Chūō-Sōbu Line)', 'JR East E231-0 (Jōban Line)', 'JR East E231-0 (Musashino Line)', 'JR East E231-1000', 'JR East E231-3000', 'JR East E231-500', 'JR East E231-500 (Chūō-Sōbu Line)', 'JR East E231-500 (Yamanote Line)', 'JR East E231-500 at Tokyo Station', 'JR East E231-800', 'JR East E231-900', 'JR East E231-900 (Musashino Line)', 'JR East E231 at Tokyo Station']",False,{'JR East': 'JR East E231'},EMU
E233系,JR東日本E233系電車,現役,電車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E233系電車,JR East E233,JR East E233,exact prefix match,"['JR East E233', 'JR East E233-0', 'JR East E233-0 (Information display)', 'JR East E233-1000', 'JR East E233-2000', 'JR East E233-3000', 'JR East E233-5000', 'JR East E233-6000', 'JR East E233-7000', 'JR East E233-8000', 'JR East E233-8500', 'JR East E233 at Tokyo Station']",False,{'JR East': 'JR East E233'},EMU
E235系,JR東日本E235系電車,現役,電車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E235系電車,JR East E235,JR East E235,exact prefix match,"['JR East E235', 'JR East E235-0', 'JR East E235-0 at Tokyo Station', 'JR East E235-1000']",False,{'JR East': 'JR East E235'},EMU
E531系,JR東日本E531系電車,現役,電車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E531系電車,JR East E531,JR East E531,exact prefix match,['JR East E531'],False,{'JR East': 'JR East E531'},EMU
E721系,JR東日本E721系電車,現役,電車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E721系電車,JR East E721,JR East E721,exact prefix match,"['JR East E721', 'JR East E721-0 series', 'JR East E721-1000 series', 'JR East E721-500 series']",False,{'JR East': 'JR East E721'},EMU
EV-E301系,JR東日本EV-E301系電車,現役,電車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本EV-E301系電車,JR East EV-E301,JR East EV-E301,exact prefix match,['JR East EV-E301'],False,{'JR East': 'JR East EV-E301'},EMU
EV-E801系,JR東日本EV-E801系電車,現役,電車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本EV-E801系電車,JR East EV-E801,JR East EV-E801,exact prefix match,['JR East EV-E801'],False,{'JR East': 'JR East EV-E801'},EMU
E491系,JR東日本E491系電車,現役,電車,事業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E491系電車,JR East E491,JR East E491,exact prefix match,['JR East E491'],False,{'JR East': 'JR East E491'},EMU
E493系,JR東日本E493系電車,現役,電車,事業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E493系電車,JR East E493,JR East E493,exact prefix match,['JR East E493'],False,{'JR East': 'JR East E493'},EMU
FV-E991系,JR東日本FV-E991系電車,現役,電車,事業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本FV-E991系電車,JR East FV-E991,JR East FV-E991,exact prefix match,['JR East FV-E991'],False,{'JR East': 'JR East FV-E991'},EMU
キハ40系,国鉄キハ40系気動車 (2代),現役,気動車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄キハ40系気動車 (2代),JNR Kiha 40,JNR Kiha 40 series,"promoted: ""JNR Kiha 40 series"" is parent of ""JNR Kiha 40""","['JNR Kiha 40', 'JNR Kiha 40 (JR Shikoku)', 'JNR Kiha 40 100', 'JNR Kiha 40 2000', 'JNR Kiha 40 series', 'JNR Kiha 40 series (JR Central)', 'JNR Kiha 40 series (JR East)', 'JNR Kiha 40 series (JR Hokkaido)', 'JNR Kiha 40 series (JR Kyushu)', 'JNR Kiha 40 series (JR Shikoku)', 'JNR Kiha 40 series (JR West)']",False,{'JR East': 'JNR Kiha 40 series'},DMU
キハ100系,JR東日本キハ100系・キハ110系気動車,現役,気動車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本キハ100系・キハ110系気動車,JR East KiHa 100 series,JR East KiHa 100 series,manual completion,[],False,{'JR East': 'JR East KiHa 100 series'},DMU
キハ110系,JR東日本キハ100系・キハ110系気動車,現役,気動車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本キハ100系・キハ110系気動車,JR East KiHa 110 series,JR East KiHa 110 series,manual completion,[],False,{'JR East': 'JR East KiHa 110 series'},DMU
キハE120形,JR東日本キハE120形気動車,現役,気動車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本キハE120形気動車,JR East E120,JR East E120,exact prefix match,['JR East E120'],False,{'JR East': 'JR East E120'},DMU
キハE130系,JR東日本キハE130系気動車,現役,気動車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本キハE130系気動車,JR East E130,JR East E130,exact prefix match,['JR East E130'],False,{'JR East': 'JR East E130'},DMU
GV-E400系,JR東日本GV-E400系気動車,現役,気動車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本GV-E400系気動車,JR East GV-E400,JR East GV-E400,exact prefix match,"['JR East GV-E400', 'JR East GV-E400 parts']",False,{'JR East': 'JR East GV-E400'},DMU
キハE200形,JR東日本キハE200形気動車,現役,気動車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本キハE200形気動車,JR East E200,JR East E200,exact prefix match,['JR East E200'],False,{'JR East': 'JR East E200'},DMU
HB-E210系,JR東日本HB-E210系気動車,現役,気動車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本HB-E210系気動車,JR East HB-E210,JR East HB-E210,exact prefix match,['JR East HB-E210'],False,{'JR East': 'JR East HB-E210'},DMU
HB-E220系,JR東日本HB-E220系気動車,現役,気動車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本HB-E220系気動車,JR East HB-E220,JR East HB-E220,exact prefix match,['JR East HB-E220'],False,{'JR East': 'JR East HB-E220'},DMU
HB-E300系,JR東日本HB-E300系気動車,現役,気動車,一般形,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本HB-E300系気動車,JR East HB-E300,JR East HB-E300,exact prefix match,['JR East HB-E300'],False,{'JR East': 'JR East HB-E300'},DMU
キヤE193系,JR東日本キヤE193系気動車,現役,気動車,事業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本キヤE193系気動車,JR East E193,JR East E193,exact prefix match,['JR East E193'],False,{'JR East': 'JR East E193'},DMU
キヤE195系,JR東海キヤ97系気動車#JR東日本キヤE195系気動車,現役,気動車,事業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東海キヤ97系気動車#JR東日本キヤE195系気動車,JR East Kiya E195,JR East Kiya E195,exact prefix match,['JR East Kiya E195'],False,{'JR East': 'JR East Kiya E195'},DMU
GV-E197系,JR東日本GV-E197系気動車,現役,気動車,事業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本GV-E197系気動車,JR East GV-E197,JR East GV-E197,exact prefix match,['JR East GV-E197'],False,{'JR East': 'JR East GV-E197'},DMU
E001形,TRAIN SUITE 四季島#使用車両・編成,現役,電気・ディーゼル両用（EDC方式）車両,,['JR東日本の車両形式'],['JR東日本'],['JR East'],JR東日本E001形クルーズトレイン「TRAIN SUITE 四季島」,JR East E001,JR East E001,exact prefix match,['JR East E001'],False,{'JR East': 'JR East E001'},Electro-diesel Multiple Unit
200系,新幹線200系電車,廃止,新幹線電車,営業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線200系電車,Shinkansen 200,Shinkansen 200,exact prefix match,"['Shinkansen 200', 'Shinkansen 200 at Niigata Station', 'Shinkansen 200 at Sendai Station (Miyagi)', 'Shinkansen 200 at Tokyo Station', 'Shinkansen 200 at Ueno Station', 'Shinkansen 200 at Ōmiya Station (Saitama)', 'Shinkansen 200 in cream and green livery', 'Shinkansen 200 in white and blue livery', 'Shinkansen 200 on Hokuriku Shinkansen', 'Shinkansen 200 on Jōetsu Shinkansen', 'Shinkansen 200 on Tōhoku Shinkansen', 'Shinkansen 200 with a sharp nose shape']",False,{'JR East': 'Shinkansen 200'},EMU
400系,新幹線400系電車,廃止,新幹線電車,営業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線400系電車,Shinkansen 400,Shinkansen 400,exact prefix match,"['Shinkansen 400', 'Shinkansen 400 (original livery)', 'Shinkansen 400 at Fukushima Station (Fukushima)', 'Shinkansen 400 at Shinjō Station', 'Shinkansen 400 at Tokyo Station', 'Shinkansen 400 at Utsunomiya Station', 'Shinkansen 400 at Yamagata Station', 'Shinkansen 400 at Ōmiya Station (Saitama)', 'Shinkansen 400 on Tōhoku Shinkansen', 'Shinkansen 400 on Yamagata Shinkansen', 'Shinkansen 400 series car 411-3']",False,{'JR East': 'Shinkansen 400'},EMU
E1系,新幹線E1系電車,廃止,新幹線電車,営業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線E1系電車,Shinkansen E1,Shinkansen E1,exact prefix match,"['Shinkansen E1', 'Shinkansen E1 (original livery)', 'Shinkansen E1 (pink line livery)', 'Shinkansen E1 (white and blue livery)', 'Shinkansen E1 at Niigata Station', 'Shinkansen E1 at Tokyo Station', 'Shinkansen E1 at Ueno Station', 'Shinkansen E1 at Ōmiya Station (Saitama)', 'Shinkansen E1 on Jōetsu Shinkansen', 'Shinkansen E1 on Tōhoku Shinkansen', 'Shinkansen E1 series car 153-104']",False,{'JR East': 'Shinkansen E1'},EMU
E4系,新幹線E4系電車,廃止,新幹線電車,営業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線E4系電車,Shinkansen E4,Shinkansen E4,exact prefix match,"['Shinkansen E4', 'Shinkansen E4 (pink line livery)', 'Shinkansen E4 (yellow line livery)', 'Shinkansen E4 at Fukushima Station (Fukushima)', 'Shinkansen E4 at Kumagaya Station', 'Shinkansen E4 at Niigata Station', 'Shinkansen E4 at Sendai Station (Miyagi)', 'Shinkansen E4 at Tokyo Station', 'Shinkansen E4 at Ueno Station', 'Shinkansen E4 at Ōmiya Station (Saitama)', 'Shinkansen E4 on Jōetsu Shinkansen', 'Shinkansen E4 on Tōhoku Shinkansen']",False,{'JR East': 'Shinkansen E4'},EMU
922形,ドクターイエロー#921形,廃止,新幹線電車,事業用,['JR東日本の車両形式'],['国鉄'],['JNR'],ドクターイエロー#921形,Shinkansen 922,Shinkansen 922,manual correction,[],False,{'JNR': 'Shinkansen 922'},EMU
925形,ドクターイエロー#925形,廃止,新幹線電車,事業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],ドクターイエロー#925形,Shinkansen 925,Shinkansen 925,exact prefix match,['Shinkansen 925'],False,{'JR East': 'Shinkansen 925'},EMU
952/953形,新幹線952形・953形電車,廃止,新幹線電車,事業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線952形・953形電車,Shinkansen 952,Shinkansen 952/953,fallback to first prefix result,['Shinkansen 952/953'],True,{'JR East': 'Shinkansen 952/953'},EMU
E954形,新幹線E954形電車,廃止,新幹線電車,事業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線E954形電車,Shinkansen E954,Shinkansen E954,exact prefix match,['Shinkansen E954'],False,{'JR East': 'Shinkansen E954'},EMU
E955形,新幹線E955形電車,廃止,新幹線電車,事業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線E955形電車,Shinkansen E955,Shinkansen E955,exact prefix match,['Shinkansen E955'],False,{'JR East': 'Shinkansen E955'},EMU
