series,wiki_title,status,type,subtype,operator_page_title,operator_jp,operator_en,full_name
203系,国鉄203系電車,廃止,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄203系電車
207系,国鉄207系電車,廃止,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄207系電車
301系,国鉄301系電車,廃止,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄301系電車
901系,JR東日本209系電車,廃止,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本209系電車
E331系,JR東日本E331系電車,廃止,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E331系電車
143系,国鉄143系電車,廃止,電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄143系電車
145系,国鉄145系電車,廃止,電車,事業用,"[""JR東日本の車両形式"", ""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR東海"", ""JR西日本""]","[""JR East"", ""JR Central"", ""JR West""]",国鉄145系電車
193系,国鉄193系電車,廃止,電車,事業用,"[""JR東日本の車両形式"", ""JR東海の車両形式""]","[""JR東日本"", ""JR東海""]","[""JR East"", ""JR Central""]",国鉄193系電車
E993系,JR東日本E993系電車,廃止,電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E993系電車
443系,国鉄443系電車,廃止,電車,事業用,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄443系電車
E991系,JR東日本E991系電車,廃止,電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E991系電車
クモヤ743形,JR東日本クモヤ743形電車,廃止,電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本クモヤ743形電車
クモヤE995形,JR東日本キヤE991形気動車,廃止,電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キヤE991形気動車
キハ58系,国鉄キハ58系気動車,廃止,気動車,急行形,"[""JR東日本の車両形式"", ""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR東海"", ""JR西日本""]","[""JR East"", ""JR Central"", ""JR West""]",国鉄キハ58系気動車
キハ20系,国鉄キハ20系気動車,廃止,気動車,一般形,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄キハ20系気動車
キハ35系,国鉄キハ35系気動車,廃止,気動車,一般形,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄キハ35系気動車
キハ37形,国鉄キハ37形気動車,廃止,気動車,一般形,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄キハ37形気動車
キハ38形,国鉄キハ38形気動車,廃止,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄キハ38形気動車
キハ45系,国鉄キハ45系気動車,廃止,気動車,一般形,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄キハ45系気動車
キハ141系,JR北海道キハ141系気動車,廃止,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR北海道キハ141系気動車
キヤ191系,国鉄キヤ191系気動車,廃止,気動車,事業用,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄キヤ191系気動車
キヤE991形,JR東日本キヤE991形気動車,廃止,気動車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キヤE991形気動車
285系,JR西日本285系電車,現役,電車,特急形,"[""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東海"", ""JR西日本""]","[""JR Central"", ""JR West""]",JR西日本285系電車
373系,JR東海373系電車,現役,電車,特急形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海373系電車
383系,JR東海383系電車,現役,電車,特急形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海383系電車
313系,JR東海313系電車,現役,電車,近郊形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海313系電車
315系,JR東海315系電車,現役,電車,通勤形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海315系電車
HC85系,JR東海HC85系気動車,現役,気動車,特急形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海HC85系気動車
キハ11形,JR東海キハ11形気動車,現役,気動車,一般形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海キハ11形気動車
キハ25形,JR東海キハ25形気動車,現役,気動車,一般形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海キハ25形気動車
キハ75形,JR東海キハ75形気動車,現役,気動車,一般形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海キハ75形気動車
キヤ95系,JR東海キヤ95系気動車,現役,気動車,事業用,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海キヤ95系気動車
キヤ97系,JR東海キヤ97系気動車,現役,気動車,事業用,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海キヤ97系気動車
L0系,L0系,導入予定,,,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",L0系
385系,JR東海385系電車,導入予定,,,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海385系電車
ED18形,国鉄ED18形電気機関車,廃止,電気機関車,,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",国鉄ED18形電気機関車
371系,JR東海371系電車,廃止,電車,特急形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海371系電車
381系,国鉄381系電車,廃止,電車,特急形,"[""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東海"", ""JR西日本""]","[""JR Central"", ""JR West""]",国鉄381系電車
117系,国鉄117系電車,廃止,電車,近郊形,"[""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東海"", ""JR西日本""]","[""JR Central"", ""JR West""]",国鉄117系電車
119系,国鉄119系電車,廃止,電車,近郊形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",国鉄119系電車
213系,国鉄213系電車,廃止,電車,近郊形,"[""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東海"", ""JR西日本""]","[""JR Central"", ""JR West""]",国鉄213系電車
311系,JR東海311系電車,廃止,電車,近郊形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海311系電車
キハ80系,国鉄キハ80系気動車,廃止,気動車,特急形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",国鉄キハ80系気動車
キハ85系,JR東海キハ85系気動車,廃止,気動車,特急形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",JR東海キハ85系気動車
キハ65形,国鉄キハ65形気動車,廃止,気動車,急行形,"[""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東海"", ""JR西日本""]","[""JR Central"", ""JR West""]",国鉄キハ65形気動車
キハ30形,国鉄キハ35系気動車,廃止,気動車,一般形,"[""JR東海の車両形式""]","[""JR東海""]","[""JR Central""]",国鉄キハ35系気動車
500系,新幹線500系電車,現役,新幹線電車,東海道・山陽・九州新幹線用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",新幹線500系電車
700系,新幹線700系電車,現役,新幹線電車,東海道・山陽・九州新幹線用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",新幹線700系電車
N700系,新幹線N700系電車,現役,新幹線電車,東海道・山陽・九州新幹線用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",新幹線N700系電車
923形,新幹線923形電車,現役,新幹線電車,東海道・山陽・九州新幹線用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",新幹線923形電車
W7系,新幹線E7系・W7系電車,現役,新幹線電車,北陸新幹線用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",新幹線E7系・W7系電車
C56形,国鉄C56形蒸気機関車,現役,蒸気機関車,,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",国鉄C56形蒸気機関車
C62形,国鉄C62形蒸気機関車,現役,蒸気機関車,,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",国鉄C62形蒸気機関車
271系,JR西日本271系電車,現役,電車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本271系電車
273系,JR西日本273系電車,現役,電車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本273系電車
281系,JR西日本281系電車,現役,電車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本281系電車
283系,JR西日本283系電車,現役,電車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本283系電車
287系,JR西日本287系電車,現役,電車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本287系電車
289系,JR西日本289系電車,現役,電車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本289系電車
681系,JR西日本681系電車,現役,電車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本681系電車
683系,JR西日本683系電車,現役,電車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本683系電車
221系,JR西日本221系電車,現役,電車,近郊形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本221系電車
223系,JR西日本223系電車,現役,電車,近郊形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本223系電車
225系,JR西日本225系電車,現役,電車,近郊形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本225系電車
227系,JR西日本227系電車,現役,電車,近郊形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本227系電車
521系,JR西日本521系電車,現役,電車,近郊形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本521系電車
207系,JR西日本207系電車,現役,電車,通勤形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本207系電車
321系,JR西日本321系電車,現役,電車,通勤形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本321系電車
323系,JR西日本323系電車,現役,電車,通勤形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本323系電車
125系,JR西日本125系電車,現役,電車,一般形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本125系電車
キハ187系,JR西日本キハ187系気動車,現役,気動車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本キハ187系気動車
キハ189系,JR西日本キハ189系気動車,現役,気動車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本キハ189系気動車
87系,JR西日本87系気動車,現役,気動車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本87系気動車
キハ120形,JR西日本キハ120形気動車,現役,気動車,一般形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本キハ120形気動車
キハ121系,JR西日本キハ126系気動車,現役,気動車,一般形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本キハ126系気動車
キハ122系,JR西日本キハ127系気動車,現役,気動車,一般形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本キハ127系気動車
キハ126系,JR西日本キハ126系気動車,現役,気動車,一般形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本キハ126系気動車
キハ127系,JR西日本キハ127系気動車,現役,気動車,一般形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本キハ127系気動車
DEC700形,JR西日本DEC700形気動車,現役,気動車,一般形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本DEC700形気動車
キヤ141系,JR西日本キヤ141系気動車,現役,気動車,事業用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本キヤ141系気動車
キヤ143形,JR西日本キヤ143形気動車,現役,気動車,事業用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本キヤ143形気動車
DEC741形,JR西日本DEC741形気動車,現役,気動車,事業用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本DEC741形気動車
100系,新幹線100系電車,廃止,新幹線電車,東海道・山陽新幹線用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",新幹線100系電車
300系,新幹線300系電車,廃止,新幹線電車,東海道・山陽新幹線用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",新幹線300系電車
922形,ドクターイエロー#922形,廃止,新幹線電車,東海道・山陽新幹線用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",ドクターイエロー#922形
500系,新幹線500系電車900番台,廃止,新幹線電車,東海道・山陽新幹線用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",新幹線500系電車900番台
912形,新幹線912形ディーゼル機関車,廃止,その他新幹線車両,ディーゼル機関車,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",新幹線912形ディーゼル機関車
931形,新幹線931形貨車,廃止,その他新幹線車両,ホッパ車,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",新幹線931形貨車
923形,貨車#新幹線貨車,廃止,その他新幹線車両,職用車,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",貨車#新幹線貨車
EF15形,国鉄EF15形電気機関車,廃止,電気機関車,直流用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",国鉄EF15形電気機関車
EF59形,国鉄EF59形電気機関車,廃止,電気機関車,直流用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",国鉄EF59形電気機関車
EF66形,国鉄EF66形電気機関車,廃止,電気機関車,直流用,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",国鉄EF66形電気機関車
183系,JR西日本183系電車,廃止,電車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本183系電車
471系,国鉄457系電車#451系・471系,廃止,電車,急行形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",国鉄457系電車#451系・471系
475系,国鉄457系電車#455系・475系,廃止,電車,急行形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",国鉄457系電車#455系・475系
413系,国鉄413系・717系電車,廃止,電車,近郊形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",国鉄413系・717系電車
415系,JR西日本415系電車,廃止,電車,近郊形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本415系電車
419系,国鉄419系・715系電車,廃止,電車,近郊形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",国鉄419系・715系電車
キハ181系,国鉄キハ181系気動車,廃止,気動車,特急形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",国鉄キハ181系気動車
キハ33形,JR西日本キハ33形気動車,廃止,気動車,一般形,"[""JR西日本の車両形式""]","[""JR西日本""]","[""JR West""]",JR西日本キハ33形気動車
